2026-09-06 20:52:29.616  1879-31484 DynamicCodeLogger       system_server                        E  Could not infer CE/DE storage for path /data/data/com.github.lonepheasantwarrior.talkify/code_cache/startup_agents/d77b4fbe-agent.so
2026-09-06 20:53:25.130  6996-6996  DEBUG                   pid-6996                             A  Cmdline: /apex/com.android.art/bin/art_exec --drop-capabilities --set-task-profile=Dex2OatBackground --set-priority=background --keep-fds=7:8:9:10:11:12 -- /apex/com.android.art/bin/dex2oat32 --zip-fd=7 --zip-location=/data/app/~~SBTfJFXdWM7ILSe02t8ZpQ==/com.github.lonepheasantwarrior.talkify-ytPbCROYkGCCP_CAhMBF1g==/base.apk --oat-fd=8 --oat-location=/data/app/~~SBTfJFXdWM7ILSe02t8ZpQ==/com.github.lonepheasantwarrior.talkify-ytPbCROYkGCCP_CAhMBF1g==/oat/arm64/base.odex --output-vdex-fd=9 --swap-fd=10 --class-loader-context-fds=11:12 --class-loader-context=PCL[]{PCL[/system_ext/framework/androidx.window.extensions.jar]#PCL[/system_ext/framework/androidx.window.sidecar.jar]} --classpath-dir=/data/app/~~SBTfJFXdWM7ILSe02t8ZpQ==/com.github.lonepheasantwarrior.talkify-ytPbCROYkGCCP_CAhMBF1g== --instruction-set=arm64 --instruction-set-features=default --instruction-set-variant=kryo --compiler-filter=verify --compilation-reason=bg-dexopt --max-image-block-size=524288 --resolve-startup-const-strings=true --debuggable --generate-mini-debug-info --runtime-arg -Xtarget-sdk-version:37 --runtime-arg -Xhidden-api-policy:enabled --assume-value=Landroid/os/Build$VERSION;->SDK_INT:36 --no-allow-profile-code --runtime-arg -Xms64m --runtime-arg -Xmx512m --comments=app-name:com.github.lonepheasantwarrior.talkify,app-version-name:1.0.28,app-version-code:30,art-version:361099999
2026-09-06 20:53:25.130  6996-6996  DEBUG                   pid-6996                             A  Abort message: 'Failed to execute (/apex/com.android.art/bin/dex2oat32 --zip-fd=7 --zip-location=/data/app/~~SBTfJFXdWM7ILSe02t8ZpQ==/com.github.lonepheasantwarrior.talkify-ytPbCROYkGCCP_CAhMBF1g==/base.apk --oat-fd=8 --oat-location=/data/app/~~SBTfJFXdWM7ILSe02t8ZpQ==/com.github.lonepheasantwarrior.talkify-ytPbCROYkGCCP_CAhMBF1g==/oat/arm64/base.odex --output-vdex-fd=9 --swap-fd=10 --class-loader-context-fds=11:12 --class-loader-context=PCL[]{PCL[/system_ext/framework/androidx.window.extensions.jar]#PCL[/system_ext/framework/androidx.window.sidecar.jar]} --classpath-dir=/data/app/~~SBTfJFXdWM7ILSe02t8ZpQ==/com.github.lonepheasantwarrior.talkify-ytPbCROYkGCCP_CAhMBF1g== --instruction-set=arm64 --instruction-set-features=default --instruction-set-variant=kryo --compiler-filter=verify --compilation-reason=bg-dexopt --max-image-block-size=524288 --resolve-startup-const-strings=true --debuggable --generate-mini-debug-info --runtime-arg -Xtarget-sdk-version:37 --runtime-arg -Xhidden-api-policy:enabled --assume-value=Landroid/os/Build$VERSION;->SDK_INT:36 --no-allow-profile-code --runtime-arg -Xms64m --runtime-arg -Xmx512m --comments=app-name:com.github.lonepheasantwarrior.talkify,app-version-name:1.0.28,app-version-code:30,art-version:361099999): No such file or directory'
2026-09-06 21:11:00.843  9439-9457  DisplayManager          com...b.lonepheasantwarrior.talkify  I  Choreographer implicitly registered for the refresh rate.
2026-09-06 21:11:01.513  9439-9439  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 21:11:03.027  9439-9439  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 21:11:04.725  9439-9439  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 21:11:08.147  9439-9439  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 21:11:10.395  9439-9439  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 21:11:22.471  9525-9546  DisplayManager          com...b.lonepheasantwarrior.talkify  I  Choreographer implicitly registered for the refresh rate.
2026-09-06 21:11:23.015  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 21:11:24.156  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:09:35.287  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:09:37.065  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:09:37.744  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
2026-09-06 22:19:38.013  9525-9525  VRI[MainActivity]       com...b.lonepheasantwarrior.talkify  D  visibilityChanged oldVisibility=true newVisibility=false
2026-09-06 22:19:38.014  9525-9525  VRI[MainActivity]       com...b.lonepheasantwarrior.talkify  D  visibilityChanged oldVisibility=true newVisibility=false
2026-09-06 22:28:26.636  9525-9525  ViewRootImpl            com...b.lonepheasantwarrior.talkify  D  Skipping stats log for color mode
2026-09-06 22:28:26.636  9525-9525  ViewRootImpl            com...b.lonepheasantwarrior.talkify  D  Skipping stats log for color mode
2026-09-06 22:28:26.638  9525-9525  VRI[MainActivity]       com...b.lonepheasantwarrior.talkify  D  visibilityChanged oldVisibility=false newVisibility=true
2026-09-06 22:28:26.643  9525-9562  TextToSpeech            com...b.lonepheasantwarrior.talkify  I  Sucessfully bound to com.github.lonepheasantwarrior.talkify
2026-09-06 22:28:26.644  9525-9562  StartupCoordinator      com...b.lonepheasantwarrior.talkify  D  Default TTS engine: com.github.lonepheasantwarrior.talkify
2026-09-06 22:28:26.660  9525-9525  VRI[MainActivity]       com...b.lonepheasantwarrior.talkify  D  visibilityChanged oldVisibility=false newVisibility=true
2026-09-06 22:28:26.661  9525-9525  StartupCoordinator      com...b.lonepheasantwarrior.talkify  I  Talkify is default provider: true
2026-09-06 22:28:26.672  9525-9540  TextToSpeech            com...b.lonepheasantwarrior.talkify  I  Connected to TTS engine
2026-09-06 22:28:26.673  9525-9579  TalkifyTTS              com...b.lonepheasantwarrior.talkify  D  onIsLanguageAvailable: TextToSpeech.LANG_AVAILABLE [lang: zho, country: CHN, variant: ]
2026-09-06 22:28:26.673  9525-9579  TalkifyTTS              com...b.lonepheasantwarrior.talkify  D  onGetDefaultVoiceNameFor: lang: zho, country: CHN, variant:
2026-09-06 22:28:26.673  9525-9579  TalkifyTTS              com...b.lonepheasantwarrior.talkify  D  onGetDefaultVoiceNameFor: defaultVoiceName: temp_leijun
2026-09-06 22:28:26.673  9525-9579  TextToSpeech            com...b.lonepheasantwarrior.talkify  I  Setting up the connection to TTS engine...
2026-09-06 22:28:27.077  9525-9525  InsetsController        com...b.lonepheasantwarrior.talkify  D  hide(ime())
